source_ingredient_id,source_ingredient_name,canonical_id,mapping_type,confidence,source
ing_pending_072f8c760024,,behentrimonium_methosulfate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=500 sha256=4a523f990553
ing_pending_073257bb381c,,lithol_rubine_bca,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2664 sha256=4a523f990553
ing_pending_07ab7b73ea2e,,neopentyl_glycol_diheptanoate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2248 sha256=4a523f990553
ing_pending_07b368436636,,ficus_carica_fig_fruit_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=305 sha256=4a523f990553
ing_pending_081ad56fb2f5,,octyldodecyl_stearoyl_stearate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2239 sha256=4a523f990553
ing_pending_08353aa09044,,eugenol,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2395 sha256=4a523f990553
ing_pending_086e4edf3e9e,,phenoxyethanol,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3579 sha256=4a523f990553
ing_pending_08e0c7ff10c8,,terminalia_ferdinandiana_fruit_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2895 sha256=4a523f990553
ing_pending_08e1252878e8,,acanthopanax_senticosus_eleuthero_root_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5316 sha256=4a523f990553
ing_pending_08f4226fb913,,rosmarinus_officinalis_rosemary_leaf_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5513 sha256=4a523f990553
ing_pending_090e21ea7105,,xyloglucan,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=15893 sha256=4a523f990553
ing_pending_094eed462fdf,,saccharomyces_rice_bran_ferment,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5011 sha256=4a523f990553
ing_pending_09533b438af0,,dicaprylyl_carbonate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5218 sha256=4a523f990553
ing_pending_09584048cf4c,,peg_60,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=11000 sha256=4a523f990553
ing_pending_0976729c1e76,,bis_diglyceryl_polyacyladipate_2,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=684 sha256=4a523f990553
ing_pending_099c18fd7762,,salvia_officinalis_sage_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=6233 sha256=4a523f990553
ing_pending_09f162691060,,hydrogenated_castor_oil,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4586 sha256=4a523f990553
ing_pending_0a9e8846ff69,,lactamide_mea,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5427 sha256=4a523f990553
ing_pending_0a9fce0c8e2c,,polypodium_vulgare_rhizome_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=9411 sha256=4a523f990553
ing_pending_0abac45e2dae,,sodium_nitrate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=9132 sha256=4a523f990553
ing_pending_0aefda0e3ee3,,propanediol_caprylate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=22908 sha256=4a523f990553
ing_pending_0b2dad28638e,,triticum_vulgare_wheat_germ_oil,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=365 sha256=4a523f990553
ing_pending_0b47941a1d9d,,sodium_polyaspartate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1252 sha256=4a523f990553
ing_pending_0b6d67d93f88,,magnesium_aluminum_silicate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=53 sha256=4a523f990553
ing_pending_0b7df740da36,,stearyl_palmitate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=10362 sha256=4a523f990553
ing_pending_0bb5f93733cd,,glycol_distearate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=614 sha256=4a523f990553
