product_id,dry_fit,oily_fit,combination_fit,normal_fit,dehydrated_oily_fit,sensitive_fit,sensitivity_tag,confidence,reason
cultbeauty_4ad9a7e35239cd,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
cultbeauty_6c825d981ecebc,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_53c1e0eea107f8,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_3e1866d7c31b3c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_b282df44faafef,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_6f26b9b71e6b54,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_d2d95413084412,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_0e162fba63e89a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_8841a6c804801c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_6d1459fe45ca48,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_285157f44760f9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_a99dd82b09c84d,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
