product_id,brand,product_name,category,is_recommendable,review_count,avg_rating,month_review_count,month_review_rate,repurchase_count,repurchase_rate,photo_review_count,photo_review_rate,profile_review_count,profile_review_rate,avg_helpful_count,top_skin_types,top_skin_tones,top_skin_troubles,review_confidence
ulta_6a0ac6d53faa71,Estée Lauder,Revitalizing Supreme+ Night Power Bounce Cream Moisturizer with Peptides - 1.0 oz,cream,true,2309,4.702,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.420,,,,high
ulta_c7df7c16086090,Estée Lauder,Revitalizing Supreme+ Night Power Bounce Cream Moisturizer with Peptides - 1.7 oz Refill,cream,true,2309,4.702,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.420,,,,high
ulta_e370f13a8fac47,Estée Lauder,Revitalizing Supreme+ Night Power Bounce Cream Moisturizer with Peptides - 1.7 oz,cream,true,2309,4.702,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.420,,,,high
prod_oy_a000000223297,뉴라덤,[윤곽앰플] 메디톡스 뉴라덤 코어타임 앰플 15ml [기획(+7ml)/단품],serum,true,2303,4.948,2303,1.0000,1244,0.5402,368,0.1598,1058,0.4594,3.139,복합성:477;건성:298;민감성:109;지성:84;트러블성:62,쿨톤:303;웜톤:228;여름쿨톤:145;봄웜톤:117;가을웜톤:104,잡티:542;미백:498;주름:200;트러블:154;블랙헤드:98,high
ulta_32de55010738df,DERMA E,Vitamin C Concentrated Serum,serum,true,2303,4.350,0,0.0000,0,0.0000,0,0.0000,192,0.0834,1.285,복합성:113;건성:31;중성:30;지성:18,,,high
ulta_53db98a2b1ef59,DERMA E,Vitamin C Concentrated Antioxidant Serum Mini,serum,true,2303,4.350,0,0.0000,0,0.0000,0,0.0000,192,0.0834,1.285,복합성:113;건성:31;중성:30;지성:18,,,high
ulta_bab0948e36af2b,RODAN + FIELDS,Redefine Minimizing+ Pore Refining Toner,toner,true,2282,4.839,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.007,,,,high
prod_oy_a000000189544,VT,[모공/흡수] VT 리들샷 300 에센스 50ml,serum,true,2275,4.787,2275,1.0000,260,0.1143,261,0.1147,777,0.3415,1.695,복합성:334;건성:159;지성:140;민감성:61;트러블성:47,여름쿨톤:166;쿨톤:159;웜톤:158;봄웜톤:108;겨울쿨톤:76,잡티:334;미백:283;트러블:261;각질:125;블랙헤드:117,high
ulta_448a08bd66bbd2,CeraVe,Resurfacing Retinol Serum,serum,true,2273,4.382,0,0.0000,0,0.0000,0,0.0000,24,0.0106,1.982,복합성:9;지성:6;건성:5;중성:4,,,high
prod_oy_a000000213171,에스네이처,[리뷰이벤트/속촉촉 진정토너] 에스네이처 아쿠아 오아시스 토너 300ml 기획 (+젤크림 30ml),toner,true,2262,4.805,2262,1.0000,294,0.1300,313,0.1384,649,0.2869,4.691,복합성:264;건성:156;지성:91;민감성:83;트러블성:30,쿨톤:130;웜톤:127;여름쿨톤:119;가을웜톤:89;봄웜톤:87,잡티:250;트러블:223;미백:180;블랙헤드:112;각질:102,high
