ingredient_id,name_ko,name_en,description,source_url
foreign_pending_e89d96b1a7e4,Linalool - [00618/01]. YOUNG.AGAIN (100ml): Cyclopentasiloxane,Linalool - [00618/01]. YOUNG.AGAIN (100ml): Cyclopentasiloxane,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e89e8b90f901,Sodium Benzoate. Shea (Karité) Rich Body Cream (75ml): Aqua/Water/Eau,Sodium Benzoate. Shea (Karité) Rich Body Cream (75ml): Aqua/Water/Eau,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8a029333479,Polycyclic Musks (Hexamethylindanopyran,Polycyclic Musks (Hexamethylindanopyran,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8a86eea895b,Euphorbia Cerifera Cera (Candelilla Wax),Euphorbia Cerifera Cera (Candelilla Wax),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8a888d7ef8b,Ascorbic Acid/ Orange/Citrus Limon/Citrus Aurantifolia Polypeptides,Ascorbic Acid/ Orange/Citrus Limon/Citrus Aurantifolia Polypeptides,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8aa61b475da,(Ci 19140) Yellow 5. This,(Ci 19140) Yellow 5. This,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8aa7bd4fad8,Acetyl Hexapeptide-8 (Argireline),Acetyl Hexapeptide-8 (Argireline),Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8b204e3c8fb,Sodium Pyruvate,Sodium Pyruvate,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8b7239c40d3,Macadamia Ternifolia (Macadamia Nut) Oil,Macadamia Ternifolia (Macadamia Nut) Oil,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8b774b24516,Gossypium Herbaceum (Cotton) Seed Oil,Gossypium Herbaceum (Cotton) Seed Oil,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8b88738d139,Caprylate/Caprate,Caprylate/Caprate,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
foreign_pending_e8b89a0a6175,Yucca Glauca Root Extract. Unblemish Invisible Matte Defense Borad Spectrum SPF 30 - ACTIVE: Avobenzone,Yucca Glauca Root Extract. Unblemish Invisible Matte Defense Borad Spectrum SPF 30 - ACTIVE: Avobenzone,Foreign pending ingredient. Generated from source ingredient text; canonical mapping required.,
