ingredient_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,effect_score,score_origin,score_basis,official_signal_strength,official_signal_functions,paper_evidence_class,paper_key,evidence_score,runtime_score_active,human_approval_gate_used,full_text_gate_used
369,dicaprylyl_ether,다이카프릴릴에터,Dicaprylyl Ether,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
375,zea_mays_corn_starch,옥수수전분,Zea Mays (Corn) Starch,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN PROTECTING,,,0,Y,N,N
379,fructooligosaccharides,프룩토올리고사카라이드,Fructooligosaccharides,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
383,ectoin,엑토인,Ectoin,effect_moisture_barrier,보습·장벽,50,ai_paper_override,paper_supporting:50,,,supporting,PMID:17519560,35,Y,N,N
385,salix_alba_willow_bark_extract,흰버드나무껍질추출물,Salix Alba (Willow) Bark Extract,effect_calming,진정,33,official_function_prior,legacy_axis_floor:33,high,SOOTHING,,,0,Y,N,N
386,gluconolactone,글루코노락톤,Gluconolactone,effect_acne_sebum,여드름·피지,35,ai_paper_override,paper_limited_medical:35,,,limited_medical,PMID:1303072,25,Y,N,N
386,gluconolactone,글루코노락톤,Gluconolactone,effect_moisture_barrier,보습·장벽,50,ai_paper_override,paper_supporting:50,,,supporting,PMID:37335807,35,Y,N,N
389,acetyl_glucosamine,아세틸글루코사민,Acetyl Glucosamine,effect_brightening,미백·톤,70,ai_paper_override,paper_primary:70,,,primary,PMID:17348991,50,Y,N,N
390,acetyl_hexapeptide_8,아세틸헥사펩타이드-8,Acetyl Hexapeptide-8,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
391,butylene_glycol_dicaprylate_dicaprate,부틸렌글라이콜다이카프릴레이트/다이카프레이트,Butylene Glycol Dicaprylate/Dicaprate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
396,euphorbia_cerifera_candelilla_wax,칸데릴라왁스,Euphorbia Cerifera (Candelilla) Wax,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - OCCLUSIVE,,,0,Y,N,N
399,dibutyl_adipate,다이부틸아디페이트,Dibutyl Adipate,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
401,hydrogenated_olive_oil_unsaponifiables,하이드로제네이티드올리브오일불검화물,Hydrogenated Olive Oil Unsaponifiables,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
407,fructose,프룩토오스,Fructose,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
415,zinc_oxide,징크옥사이드,Zinc Oxide,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN PROTECTING,,,0,Y,N,N
421,hydrolyzed_glycosaminoglycans,하이드롤라이즈드글라이코사미노글리칸,Hydrolyzed Glycosaminoglycans,effect_moisture_barrier,보습·장벽,32,official_function_prior,legacy_axis_floor:32,high,HUMECTANT,,,0,Y,N,N
424,oenothera_biennis_evening_primrose_oil,달맞이꽃오일,Oenothera Biennis (Evening Primrose) Oil,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
428,copernicia_cerifera_carnauba_wax,카나우바왁스,Copernicia Cerifera (Carnauba) Wax,effect_moisture_barrier,보습·장벽,30,official_function_prior,legacy_global_floor:30,medium,SKIN CONDITIONING - EMOLLIENT,,,0,Y,N,N
