product_id,brand,name,category,is_recommendable,recommend_exclude_reason,skin_type_tags,thumbnail_url,image_urls,functional_review_text,functional_cosmetic_status,functional_cosmetic_claims,functional_claim_confidence,functional_claim_basis
ulta_25ecc63233b0d6,Medix 5.5,"Firm + Glow Duo | Retinol + Ferulic Acid Body Cream, Vitamin C + Niacinamide Body Wash",bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005618?w=500&h=500,https://media.ultainc.com/i/ulta/77005618?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_bfc125a99c7b0a,Medix 5.5,"Support + Glow Duo | Vitamin C + Turmeric Body Cream, 20% Vitamin F Serum",bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005627?w=500&h=500,https://media.ultainc.com/i/ulta/77005627?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_bc38e43b17220d,Daeng Gi Meo Ri,Premium Black Garlic & Curcumin Shampoo,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005640?w=500&h=500,https://media.ultainc.com/i/ulta/77005640?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_e75c06d52823d8,Daeng Gi Meo Ri,Ki Gold Premium Hair Care Set,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005649?w=500&h=500,https://media.ultainc.com/i/ulta/77005649?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_6a543040aa7fa1,Daeng Gi Meo Ri,Ohyeon Premium for Oily Scalp Shampoo,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005728?w=500&h=500,https://media.ultainc.com/i/ulta/77005728?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_2a1f0bdbf295d1,Forte Series,Volumizing Conditioner,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005755?w=500&h=500,https://media.ultainc.com/i/ulta/77005755?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_8cf224113be206,Forte Series,Volumizing Shampoo,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005769?w=500&h=500,https://media.ultainc.com/i/ulta/77005769?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_6715f7d9b19935,CORPUS,Third Rose Deodorant Stick - 2.6 oz,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77006728?w=500&h=500,https://media.ultainc.com/i/ulta/77006728?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_ed26a546852e8d,Oliere Paris,Studio Moisturizing Hair Wax,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005897?w=500&h=500,https://media.ultainc.com/i/ulta/77005897?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_1e7d2022ec9cd2,Mad Rabbit,Tattoo Replenish Daily Body Lotion Unscented,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005915?w=500&h=500,https://media.ultainc.com/i/ulta/77005915?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
