alias,normalized_alias,previous_canonical_id,new_canonical_id,action,note
세테아릴이소노나노에이트,세테아릴이소노나노에이트,,cetearyl_isononanoate,added,공식 exact identity alias
세트리모늄메토설페이트,세트리모늄메토설페이트,,cetrimonium_methosulfate,added,공식 exact identity alias
세트리모늄브로마이드,세트리모늄브로마이드,,cetrimonium_bromide,added,공식 exact identity alias
세틸다이메티콘,세틸다이메티콘,,cetyl_dimethicone,added,공식 exact identity alias
세틸디메치콘,세틸디메치콘,,cetyl_dimethicone,added,공식 exact identity alias
세틸리시놀레이트,세틸리시놀레이트,,cetyl_ricinoleate,added,공식 exact identity alias
세틸리시놀리에이트,세틸리시놀리에이트,,cetyl_ricinoleate,added,공식 exact identity alias
세틸스테아레이트,세틸스테아레이트,,cetyl_stearate,added,공식 exact identity alias
세틸포스페이트,세틸포스페이트,,cetyl_phosphate,added,공식 exact identity alias
세틸하이드록시에칠셀룰로오스,세틸하이드록시에칠셀룰로오스,,cetyl_hydroxyethylcellulose,added,공식 exact identity alias
세틸하이드록시에틸셀룰로오스,세틸하이드록시에틸셀룰로오스,,cetyl_hydroxyethylcellulose,added,공식 exact identity alias
세틸하이드록시프롤린팔미타마이드,세틸하이드록시프롤린팔미타마이드,,cetylhydroxyproline_palmitamide,added,공식 exact identity alias
센나씨폴리사카라이드,센나씨폴리사카라이드,,cassia_angustifolia_seed_polysaccharide,added,공식 exact identity alias
센티드제라늄오일,센티드제라늄오일,,pelargonium_graveolens_oil,added,공식 exact identity alias
셀러리씨추출물,셀러리씨추출물,,apium_graveolens_celery_seed_extract,added,공식 exact identity alias
셀룰로오스아세테이트부티레이트,셀룰로오스아세테이트부티레이트,,cellulose_acetate_butyrate,added,공식 exact identity alias
소나무잎추출물,소나무잎추출물,,pinus_densiflora_leaf_extract,added,공식 exact identity alias
소두구씨오일,소두구씨오일,,elettaria_cardamomum_seed_oil,added,공식 exact identity alias
소듐구아이아줄렌설포네이트,소듐구아이아줄렌설포네이트,,sodium_guaiazulene_sulfonate,added,공식 exact identity alias
소듐글라이콜레이트,소듐글라이콜레이트,,sodium_glycolate,added,공식 exact identity alias
소듐덱스트란설페이트,소듐덱스트란설페이트,,sodium_dextran_sulfate,added,공식 exact identity alias
소듐라우레스-12설페이트,소듐라우레스-12설페이트,,sodium_laureth_12_sulfate,added,공식 exact identity alias
소듐라우레이트,소듐라우레이트,,sodium_laurate,added,공식 exact identity alias
소듐라우로암포아세테이트,소듐라우로암포아세테이트,,sodium_lauroamphoacetate,added,공식 exact identity alias
소듐라우로일귀리아미노산,소듐라우로일귀리아미노산,,sodium_lauroyl_oat_amino_acids,added,공식 exact identity alias
소듐라우로일메칠아미노프로피오네이트,소듐라우로일메칠아미노프로피오네이트,,sodium_lauroyl_methylaminopropionate,added,공식 exact identity alias
소듐라우로일메칠이세치오네이트,소듐라우로일메칠이세치오네이트,,sodium_lauroyl_methyl_isethionate,added,공식 exact identity alias
소듐라우로일메틸아미노프로피오네이트,소듐라우로일메틸아미노프로피오네이트,,sodium_lauroyl_methylaminopropionate,added,공식 exact identity alias
소듐라우로일메틸이세티오네이트,소듐라우로일메틸이세티오네이트,,sodium_lauroyl_methyl_isethionate,added,공식 exact identity alias
소듐라우릴글루코오스카복실레이트,소듐라우릴글루코오스카복실레이트,,sodium_lauryl_glucose_carboxylate,added,공식 exact identity alias
소듐라우릴설페이트,소듐라우릴설페이트,,sodium_lauryl_sulfate,added,공식 exact identity alias
소듐라우릴설포아세테이트,소듐라우릴설포아세테이트,,sodium_lauryl_sulfoacetate,added,공식 exact identity alias
소듐메칠올레오일타우레이트,소듐메칠올레오일타우레이트,,sodium_methyl_oleoyl_taurate,added,공식 exact identity alias
소듐메칠이세치오네이트,소듐메칠이세치오네이트,,sodium_methyl_isethionate,added,공식 exact identity alias
소듐메타포스페이트,소듐메타포스페이트,,sodium_metaphosphate,added,공식 exact identity alias
소듐메틸올레오일타우레이트,소듐메틸올레오일타우레이트,,sodium_methyl_oleoyl_taurate,added,공식 exact identity alias
소듐메틸이세티오네이트,소듐메틸이세티오네이트,,sodium_methyl_isethionate,added,공식 exact identity alias
소듐미리스토일글루타메이트,소듐미리스토일글루타메이트,,sodium_myristoyl_glutamate,added,공식 exact identity alias
소듐바이설파이트,소듐바이설파이트,,sodium_bisulfite,added,공식 exact identity alias
소듐바이카보네이트,소듐바이카보네이트,,sodium_bicarbonate,added,공식 exact identity alias
소듐벤조트라이아졸릴부틸페놀설포네이트,소듐벤조트라이아졸릴부틸페놀설포네이트,,sodium_benzotriazolyl_butylphenol_sulfonate,added,공식 exact identity alias
소듐벤조트리아졸릴부틸페놀설포네이트,소듐벤조트리아졸릴부틸페놀설포네이트,,sodium_benzotriazolyl_butylphenol_sulfonate,added,공식 exact identity alias
소듐사카린,소듐사카린,,sodium_saccharin,added,공식 exact identity alias
소듐사코시네이트,소듐사코시네이트,,sodium_sarcosinate,added,공식 exact identity alias
소듐살리실레이트,소듐살리실레이트,,sodium_salicylate,added,공식 exact identity alias
소듐서팩틴,소듐서팩틴,,sodium_surfactin,added,공식 exact identity alias
소듐설파이트,소듐설파이트,,sodium_sulfite,added,공식 exact identity alias
소듐설페이트,소듐설페이트,,sodium_sulfate,added,공식 exact identity alias
소듐세테아릴설페이트,소듐세테아릴설페이트,,sodium_cetearyl_sulfate,added,공식 exact identity alias
소듐스타치옥테닐석시네이트,소듐스타치옥테닐석시네이트,,sodium_starch_octenylsuccinate,added,공식 exact identity alias
소듐스테아레이트,소듐스테아레이트,,sodium_stearate,added,공식 exact identity alias
소듐스테아로일락틸레이트,소듐스테아로일락틸레이트,,sodium_stearoyl_lactylate,added,공식 exact identity alias
소듐아니세이트,소듐아니세이트,,sodium_anisate,added,공식 exact identity alias
소듐아크릴레이트코폴리머,소듐아크릴레이트코폴리머,,sodium_acrylates_copolymer,added,공식 exact identity alias
