fetched_on,source_url,inci_name,functions_json,restrictions_json,sccs_opinions_json,substance_ids_json
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALUMINA,"[""ABRASIVE"", ""ABSORBENT"", ""ANTICAKING"", ""BULKING"", ""OPACIFYING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74191""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALUMINUM CALCIUM SODIUM SILICATE,"[""BULKING""]",[],[],"[""54317""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALUMINUM DIMYRISTATE,"[""ANTICAKING"", ""EMULSION STABILISING"", ""OPACIFYING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74210""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALUMINUM HYDROXIDE,"[""HUMECTANT"", ""OPACIFYING"", ""SKIN CONDITIONING - EMOLLIENT"", ""SKIN PROTECTING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74215""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALUMINUM MYRISTATE,"[""ANTICAKING"", ""EMULSION STABILISING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74225""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALUMINUM STARCH OCTENYLSUCCINATE,"[""ABSORBENT"", ""ANTICAKING"", ""VISCOSITY CONTROLLING""]",[],[],"[""31809""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALUMINUM STEARATE,"[""ANTICAKING"", ""COLORANT"", ""EMULSION STABILISING"", ""VISCOSITY CONTROLLING""]","[""IV/150""]",[],"[""31810""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALUMINUM/MAGNESIUM HYDROXIDE STEARATE,"[""EMULSION STABILISING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74249""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMARANTHUS CAUDATUS SEED EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""54328""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMBER EXTRACT,"[""HAIR CONDITIONING"", ""SKIN CONDITIONING""]",[],[],"[""54329""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMBER POWDER,"[""DEODORANT""]",[],[],"[""54330""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMINOMETHYL PROPANEDIOL,"[""BUFFERING"", ""FRAGRANCE""]","[""III/61""]",[],"[""74366""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMINOMETHYL PROPANOL,"[""BUFFERING""]","[""III/61""]",[],"[""74367""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMINOPROPYL ASCORBYL PHOSPHATE,"[""ANTIOXIDANT"", ""SKIN CONDITIONING""]",[],[],"[""54582""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMINOPROPYL DIMETHICONE,"[""HAIR CONDITIONING""]",[],[],"[""54584""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMINOPROPYL TRIETHOXYSILANE,"[""SURFACTANT - CLEANSING""]",[],[],"[""83894""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMMONIUM ACRYLATES COPOLYMER,"[""ANTISTATIC"", ""BINDING"", ""FILM FORMING"", ""VISCOSITY CONTROLLING""]",[],[],"[""31841""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMMONIUM ACRYLOYLDIMETHYLTAURATE/BEHENETH-25 METHACRYLATE CROSSPOLYMER,"[""EMULSION STABILISING""]",[],[],"[""54589""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER,"[""VISCOSITY CONTROLLING""]",[],[],"[""54593""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMMONIUM GLYCYRRHIZATE,"[""FLAVOURING"", ""FRAGRANCE"", ""SKIN CONDITIONING - MISCELLANEOUS""]",[],[],"[""74398""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMMONIUM HYDROXIDE,"[""BUFFERING"", ""DENATURANT""]","[""III/4""]",[],"[""31870""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMMONIUM LACTATE,"[""BUFFERING"", ""HUMECTANT"", ""KERATOLYTIC"", ""SKIN CONDITIONING""]",[],[],"[""74403""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMMONIUM LAURYL SULFATE,"[""CLEANSING"", ""FOAMING"", ""SURFACTANT - CLEANSING""]",[],[],"[""74412""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMMONIUM POLYACRYLATE,"[""FILM FORMING"", ""LIGHT STABILIZER"", ""SURFACTANT - CLEANSING""]",[],[],"[""74422""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,"[""EMULSION STABILISING"", ""VISCOSITY CONTROLLING""]",[],[],"[""54601""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMODIMETHICONE,"[""ANTISTATIC"", ""HAIR CONDITIONING""]",[],[],"[""31907""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AMORPHOPHALLUS KONJAC ROOT EXTRACT,"[""FILM FORMING"", ""HUMECTANT""]",[],[],"[""83764""]"
