rank,source_ingredient_id,dominant_name,row_count,product_count,cumulative_all_rows_pct,observed_name_count,top_observed_names,observed_names_json,existing_canonical_id,triage_status,triage_note
2158,ing_pending_bc5bdcc421fd,베르가모트잎추출물,70,70,23.9825,1,베르가모트잎추출물 (70),"[{""name"":""베르가모트잎추출물"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2159,ing_pending_c2da0ebe798c,Chamomilla Recutita (Matricaria) Flower Oil,70,70,23.9859,3,Chamomilla Recutita (Matricaria) Flower Oil (61) | CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL (8) | Chamomilla Recutita (Matricaria Flower Oil (1),"[{""name"":""Chamomilla Recutita (Matricaria) Flower Oil"",""count"":61},{""name"":""CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL"",""count"":8},{""name"":""Chamomilla Recutita (Matricaria Flower Oil"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2160,ing_pending_ca7bebb0cd4a,피이지-20글리세릴트라이아이소스테아레이트,70,70,23.9893,1,피이지-20글리세릴트라이아이소스테아레이트 (70),"[{""name"":""피이지-20글리세릴트라이아이소스테아레이트"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2161,ing_pending_d843edd322cc,Irvingia Gabonensis Kernel Butter,70,70,23.9927,1,Irvingia Gabonensis Kernel Butter (70),"[{""name"":""Irvingia Gabonensis Kernel Butter"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2162,ing_pending_f71c6dbeef88,Pogostemon Cablin (Patchouli) Oil,70,70,23.9961,4,Pogostemon Cablin (Patchouli) Oil (66) | Pogostemon Cablin (Patchouli) Oil\ (2) | Pogostemon cablin [Patchouli] Oil (1) | POGOSTEMON CABLIN (PATCHOULI) OIL (1),"[{""name"":""Pogostemon Cablin (Patchouli) Oil"",""count"":66},{""name"":""Pogostemon Cablin (Patchouli) Oil\\"",""count"":2},{""name"":""Pogostemon cablin [Patchouli] Oil"",""count"":1},{""name"":""POGOSTEMON CABLIN (PATCHOULI) OIL"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2163,ing_pending_fa0ca8bf0be5,Lupinus Albus Seed Extract,70,70,23.9995,1,Lupinus Albus Seed Extract (70),"[{""name"":""Lupinus Albus Seed Extract"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2164,ing_pending_0cb295f9b9a7,에스에이치-폴리펩타이드-22,69,69,24.0029,1,에스에이치-폴리펩타이드-22 (69),"[{""name"":""에스에이치-폴리펩타이드-22"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2165,ing_pending_10eac3a2c76a,하이드로젠퍼옥사이드,69,69,24.0062,1,하이드로젠퍼옥사이드 (69),"[{""name"":""하이드로젠퍼옥사이드"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2166,ing_pending_30de44829386,에틸헥실올리베이트,69,69,24.0096,1,에틸헥실올리베이트 (69),"[{""name"":""에틸헥실올리베이트"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2167,ing_pending_41f8b2578cbb,Pisum Sativum (Pea) Seed Extract,69,69,24.0129,2,Pisum Sativum (Pea) Seed Extract (68) | pisum sativum (pea) seed extract (1),"[{""name"":""Pisum Sativum (Pea) Seed Extract"",""count"":68},{""name"":""pisum sativum (pea) seed extract"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2168,ing_pending_4e76168f4e1d,폴리글리세릴-6스테아레이트,69,69,24.0163,1,폴리글리세릴-6스테아레이트 (69),"[{""name"":""폴리글리세릴-6스테아레이트"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2169,ing_pending_5b6ba1a66737,C12-13 Pareth-9,69,69,24.0196,1,C12-13 Pareth-9 (69),"[{""name"":""C12-13 Pareth-9"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2170,ing_pending_6aa1c8646a5a,타피오카전분,69,69,24.0230,1,타피오카전분 (69),"[{""name"":""타피오카전분"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2171,ing_pending_6cf155e7f0e0,Stearyl Caprylate,69,69,24.0263,1,Stearyl Caprylate (69),"[{""name"":""Stearyl Caprylate"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2172,ing_pending_73eba644dc72,파스향나무잎추출물,69,69,24.0297,1,파스향나무잎추출물 (69),"[{""name"":""파스향나무잎추출물"",""count"":69}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
