product_id,canonical_id,kept_ingredient_name,kept_display_order,source_row_count,source_ingredient_ids,source_ingredient_names,source_display_orders,source_concentration_texts,source_normalized_concentrations,concentration_policy
prod_oy_a000000249651,cholesterol_fatty_acids,팔미틱애씨드,7,2,ing_pending_eef58792a781; ing_pending_8e5e6501448c,팔미틱애씨드; 스테아릭애씨드,7; 10,,,none
prod_oy_a000000252197,hyaluronic_acid,소듐하이알루로네이트,36,3,ing_pending_dc86714c6b9b; ing_pending_2a70c7167edc; ing_pending_d5a75e7d8737,소듐하이알루로네이트; 하이알루로닉애씨드; 하이드롤라이즈드하이알루로닉애씨드,36; 37; 38,,,none
prod_oy_a000000252302,peptides,카퍼트라이펩타이드-1,40,3,ing_pending_2923850fc2fa; ing_pending_bd76dfd9f575; ing_pending_f186dee4b53f,카퍼트라이펩타이드-1; 팔미토일트라이펩타이드-1; 팔미토일테트라펩타이드-7,40; 41; 43,,,none
prod_oy_a000000254006,cholesterol_fatty_acids,팔미틱애씨드,22,2,ing_pending_eef58792a781; ing_pending_8e5e6501448c,팔미틱애씨드; 스테아릭애씨드,22; 23,,,none
prod_oy_a000000254006,peptides,아세틸헥사펩타이드-8,34,4,ing_pending_2326ae2ec645; ing_pending_2923850fc2fa; ing_pending_1af9a895ed19; ing_pending_bd76dfd9f575,아세틸헥사펩타이드-8; 카퍼트라이펩타이드-1; 팔미토일펜타펩타이드-4; 팔미토일트라이펩타이드-1,34; 42; 44; 45,,,none
prod_oy_a000000254645,hyaluronic_acid,소듐하이알루로네이트크로스폴리머,32,2,ing_pending_1e416583864f; ing_pending_dc86714c6b9b,소듐하이알루로네이트크로스폴리머; 소듐하이알루로네이트,32; 55,,,none
prod_oy_a000000255066,hyaluronic_acid,소듐하이알루로네이트,16,3,ing_pending_dc86714c6b9b; ing_pending_d5a75e7d8737; ing_pending_699a72e62403,소듐하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트,16; 21; 22,,,none
prod_oy_a000000255445,hyaluronic_acid,하이드롤라이즈드하이알루로닉애씨드,20,2,ing_pending_d5a75e7d8737; ing_pending_dc86714c6b9b,하이드롤라이즈드하이알루로닉애씨드; 소듐하이알루로네이트,20; 43,,,none
prod_oy_a000000255445,cholesterol_fatty_acids,팔미틱애씨드,27,3,ing_pending_eef58792a781; ing_pending_8e5e6501448c; ing_pending_bf86770f3c63,팔미틱애씨드; 스테아릭애씨드; 콜레스테롤,27; 29; 38,,,none
prod_oy_a000000255625,peptides,카퍼트라이펩타이드-1,11,2,ing_pending_2923850fc2fa; ing_pending_2326ae2ec645,카퍼트라이펩타이드-1; 아세틸헥사펩타이드-8,11; 38,카퍼트라이펩타이드-1 0.5%; 아세틸헥사펩타이드-8 0.004 ppm,0.5 %; 0.0000004 %,ambiguous_numeric_blank
