source,ingredient_id,name_en,search_query,raw_hit_count,returned_count,request_status,error_message,pipeline_version
crossref,disodium_stearoyl_glutamate,Disodium Stearoyl Glutamate,"""Disodium Stearoyl Glutamate"" skin topical",495528,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,disteardimonium_hectorite,Disteardimonium Hectorite,"""Disteardimonium Hectorite"" skin topical",439875,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ectoin,Ectoin,"""Ectoin"" skin topical",439423,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,erythritol,Erythritol,"""Erythritol"" skin topical",440954,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ethylene_propylene_copolymer,Ethylene/Propylene Copolymer,"""ethylene propylene copolymer"" skin topical",594782,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ethylene_propylene_styrene_copolymer,Ethylene/Propylene/Styrene Copolymer,"""ethylene propylene styrene copolymer"" skin topical",624866,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ethylhexyl_methoxycinnamate,Ethylhexyl Methoxycinnamate,"""Ethylhexyl Methoxycinnamate"" skin topical",445215,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ethylhexyl_palmitate,Ethylhexyl Palmitate,"""Ethylhexyl Palmitate"" skin topical",450058,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ethylhexyl_salicylate,Ethylhexyl Salicylate,"""Ethylhexyl Salicylate"" skin topical",451384,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ethylhexyl_triazone,Ethylhexyl Triazone,"""Ethylhexyl Triazone"" skin topical",445019,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ethylhexylglycerin,Ethylhexylglycerin,"""Ethylhexylglycerin"" skin topical",439410,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,eucalyptus_globulus_leaf_oil,Eucalyptus Globulus Leaf Oil,"""Eucalyptus Globulus Leaf Oil"" skin topical",1256114,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,eugenol,Eugenol,"""Eugenol"" skin topical",444205,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,euphorbia_cerifera_candelilla_wax,Euphorbia Cerifera (Candelilla) Wax,"""euphorbia cerifera candelilla wax"" skin topical",466046,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,farnesol,Farnesol,"""Farnesol"" skin topical",440201,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,ficus_carica_fig_fruit_extract,Ficus Carica (Fig) Fruit Extract,"""ficus carica fig fruit extract"" skin topical",854450,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,fragrance_perfume_parfum,Fragrance|Perfume|Parfum,"""Perfume"" skin topical",441150,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,fructooligosaccharides,Fructooligosaccharides,"""Fructooligosaccharides"" skin topical",440355,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,fructose,Fructose,"""Fructose"" skin topical",458505,25,ok,,mwbl-ingredient-multisource-discovery-v1
