portfolio_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,current_runtime,current_effect_score,best_evidence_tier,best_relation_scope,best_applicability,best_pmid,signal_strength,score_basis,proposed_effect_score,scientific_evidence_score,runtime_score_eligible,counterfactual_score_eligible_after_review,score_exclusion_reason,review_status,activation_status
30,colloidal_oatmeal,콜로이달오트밀,Colloidal Oatmeal,effect_moisture_barrier,보습·장벽,Y,46,,,,,current,existing_runtime_unchanged,46.00,,Y,N,,existing_runtime,active_existing
31,arbutin,알부틴,Arbutin,effect_brightening,미백·톤,Y,60,,,,,current,existing_runtime_unchanged,60.00,,Y,N,,existing_runtime,active_existing
32,retinal,레티날,Retinal,effect_brightening,미백·톤,Y,43,,,,,current,existing_runtime_unchanged,43.00,,Y,N,,existing_runtime,active_existing
32,retinal,레티날,Retinal,effect_exfoliation,각질,Y,48,,,,,current,existing_runtime_unchanged,48.00,,Y,N,,existing_runtime,active_existing
32,retinal,레티날,Retinal,effect_wrinkle,주름·탄력,Y,72,,,,,current,existing_runtime_unchanged,72.00,,Y,N,,existing_runtime,active_existing
33,kojic_acid,코직애씨드,Kojic Acid,effect_brightening,미백·톤,Y,50,,,,,current,existing_runtime_unchanged,50.00,,Y,N,,existing_runtime,active_existing
34,tea_tree,티트리,Tea Tree,effect_acne_sebum,여드름·피지,Y,54,,,,,current,existing_runtime_unchanged,54.00,,Y,N,,existing_runtime,active_existing
35,sodium_hyaluronate,소듐하이알루로네이트,Sodium Hyaluronate,effect_moisture_barrier,보습·장벽,N,,2,title_exact,human_topical,41650338,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
36,sucrose,수크로오스,Sucrose,effect_calming,진정,N,,1,abstract_exact,human_topical,15495086,high,paper_candidate_tier_1,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
36,sucrose,수크로오스,Sucrose,effect_moisture_barrier,보습·장벽,N,,4,abstract_exact,human_topical,11522477,high,paper_candidate_tier_4,6.00,0.00,N,Y,,candidate_unverified,candidate_unverified
37,propylene_glycol,프로필렌글라이콜,Propylene Glycol,effect_moisture_barrier,보습·장벽,N,,2,abstract_exact,human_topical,25305378,high,paper_candidate_tier_2,8.00,0.00,N,Y,,candidate_unverified,candidate_unverified
