product_id,ingredient_id,ingredient_name,display_order,concentration_type,value_min,value_max,unit,confidence,visibility,basis,source
prod_oy_a000000185807,ing_pending_b0c943b0a5ef,타이로신,63,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_c353ca0f2760,페닐알라닌,64,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_a10fc647fc60,트레오닌,65,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_b4591f3c6870,프롤린,66,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_fccd5f3b3b43,발린,67,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_7e9834b36942,아이소류신,68,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_39b6c559452f,히스티딘,69,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_73302a4121aa,시스테인,70,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_f5d3c7df6cb3,메티오닌,71,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_343893a46e10,피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트,72,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000185807,ing_pending_89db7240090d,에틸헥실글리세린,73,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000186131,ing_pending_9c737e76bc63,정제수,1,prior_estimate,40,80,%,low,internal,제형 기반 정제수 prior; 법정/라벨 근거 아님,formulation prior heuristic
prod_oy_a000000186131,ing_pending_618ca9489c8f,징크옥사이드,2,legal_upper_bound,,25,%,high,public,화장품 안전기준 별표2 자외선차단성분 사용한도,MFDS cosmetic safety standard annex 2
prod_oy_a000000186131,ing_pending_3f66a578bd84,클로페네신,22,legal_upper_bound,,0.3,%,high,public,화장품 안전기준 별표2 보존제 사용한도,MFDS cosmetic safety standard annex 2
prod_oy_a000000186191,ing_pending_9c737e76bc63,정제수,1,prior_estimate,40,80,%,low,internal,제형 기반 정제수 prior; 법정/라벨 근거 아님,formulation prior heuristic
prod_oy_a000000186191,ing_pending_c868df5fca6e,토코페롤,36,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000186191,ing_pending_44b359479293,p-아니식애씨드,37,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000186191,ing_pending_70229501ae9c,아미노메틸프로판올,38,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000186191,ing_pending_e0526257c8b2,페녹시에탄올,39,legal_upper_bound,,1,%,high,public,화장품 안전기준 별표2 보존제 사용한도,MFDS cosmetic safety standard annex 2
prod_oy_a000000186191,ing_pending_3f66a578bd84,클로페네신,40,legal_upper_bound,,0.3,%,high,public,화장품 안전기준 별표2 보존제 사용한도,MFDS cosmetic safety standard annex 2
prod_oy_a000000186195,ing_pending_f5fb150730c0,카보머,20,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000186195,ing_pending_4ae3f56b2152,락토바실러스/콩발효추출물,21,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000186195,ing_pending_83903a23e3df,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,22,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000186195,ing_pending_c0bdfe576e8d,아라키딜글루코사이드,23,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000186195,ing_pending_3acd90f4e492,시어버터,24,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
prod_oy_a000000186195,ing_pending_702c76cc939c,해바라기씨오일,25,marker_upper_bound,,1,%,medium,internal,1% marker ingredient appears before or at this ingredient; upper-bound heuristic only,Cosmetics Act enforcement rule ingredient order + marker heuristic
