ingredient_rank,ingredient_id,name_ko,name_en,product_count,search_terms,search_query,raw_pubmed_hit_count,selected_paper_count,catalog_status,review_status,score_change,searched_on,pipeline_version
104,benzoic_acid,벤조익애씨드,Benzoic Acid,3052,Benzoic Acid,"(""Benzoic Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",47,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
105,diisostearyl_malate,다이아이소스테아릴말레이트,Diisostearyl Malate,3046,Diisostearyl Malate,"(""Diisostearyl Malate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
106,guar_hydroxypropyltrimonium_chloride,구아하이드록시프로필트라이모늄클로라이드,Guar Hydroxypropyltrimonium Chloride,2976,Guar Hydroxypropyltrimonium Chloride,"(""Guar Hydroxypropyltrimonium Chloride""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
107,rosmarinus_officinalis_rosemary_leaf_extract,로즈마리잎추출물,Rosmarinus Officinalis (Rosemary) Leaf Extract,2974,Rosmarinus Officinalis (Rosemary) Leaf Extract|rosmarinus officinalis rosemary leaf extract,"(""Rosmarinus Officinalis (Rosemary) Leaf Extract""[Title/Abstract] OR ""rosmarinus officinalis rosemary leaf extract""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
108,polymethylsilsesquioxane,폴리메틸실세스퀴옥세인,Polymethylsilsesquioxane,2948,Polymethylsilsesquioxane,"(""Polymethylsilsesquioxane""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
109,cocos_nucifera_coconut_oil,코코넛야자오일,Cocos Nucifera (Coconut) Oil,2936,Cocos Nucifera (Coconut) Oil|cocos nucifera coconut oil,"(""Cocos Nucifera (Coconut) Oil""[Title/Abstract] OR ""cocos nucifera coconut oil""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
110,isopropyl_alcohol,아이소프로필알코올,Isopropyl Alcohol,2897,Isopropyl Alcohol,"(""Isopropyl Alcohol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",48,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
111,ceramide_np,세라마이드엔피,Ceramide NP,2859,Ceramide NP|Ceramide 3,"(""Ceramide NP""[Title/Abstract] OR ""Ceramide 3""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
112,alumina,알루미나,Alumina,2856,Alumina,"(""Alumina""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
113,olea_europaea_olive_fruit_oil,올리브오일,Olea Europaea (Olive) Fruit Oil,2737,Olea Europaea (Olive) Fruit Oil|olea europaea olive fruit oil,"(""Olea Europaea (Olive) Fruit Oil""[Title/Abstract] OR ""olea europaea olive fruit oil""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
114,coco_caprylate_caprate,코코-카프릴레이트/카프레이트,Coco-Caprylate/Caprate,2735,Coco-Caprylate/Caprate|coco caprylate caprate,"(""Coco-Caprylate/Caprate""[Title/Abstract] OR ""coco caprylate caprate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
115,peg_100_stearate,피이지-100스테아레이트,PEG-100 Stearate,2700,PEG-100 Stearate|peg 100 stearate,"(""PEG-100 Stearate""[Title/Abstract] OR ""peg 100 stearate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
116,glycine,글라이신,Glycine,2677,Glycine,"(""Glycine""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",49,3,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
117,aloe_barbadensis_leaf_juice,알로에베라잎즙,Aloe Barbadensis Leaf Juice,2637,Aloe Barbadensis Leaf Juice,"(""Aloe Barbadensis Leaf Juice""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
118,dipotassium_glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,2637,Dipotassium Glycyrrhizate,"(""Dipotassium Glycyrrhizate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",9,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
119,cocamidopropyl_betaine,코카미도프로필베타인,Cocamidopropyl Betaine,2631,Cocamidopropyl Betaine,"(""Cocamidopropyl Betaine""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
120,ascorbic_acid,비타민C,Ascorbic Acid,2627,Ascorbic Acid|L-Ascorbic Acid,"(""Ascorbic Acid""[Title/Abstract] OR ""L-Ascorbic Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
121,tetrasodium_glutamate_diacetate,테트라소듐글루타메이트다이아세테이트,Tetrasodium Glutamate Diacetate,2616,Tetrasodium Glutamate Diacetate,"(""Tetrasodium Glutamate Diacetate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
122,hydrogenated_polyisobutene,하이드로제네이티드폴리아이소부텐,Hydrogenated Polyisobutene,2614,Hydrogenated Polyisobutene,"(""Hydrogenated Polyisobutene""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",4,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
123,sorbitan_olivate,솔비탄올리베이트,Sorbitan Olivate,2612,Sorbitan Olivate,"(""Sorbitan Olivate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",3,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
125,stearyl_alcohol,스테아릴알코올,Stearyl Alcohol,2607,Stearyl Alcohol,"(""Stearyl Alcohol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",35,3,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
127,synthetic_wax,합성왁스,Synthetic Wax,2516,Synthetic Wax,"(""Synthetic Wax""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
128,sodium_lactate,소듐락테이트,Sodium Lactate,2510,Sodium Lactate,"(""Sodium Lactate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",25,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
129,persea_gratissima_avocado_oil,아보카도오일,Persea Gratissima (Avocado) Oil,2502,Persea Gratissima (Avocado) Oil|persea gratissima avocado oil,"(""Persea Gratissima (Avocado) Oil""[Title/Abstract] OR ""persea gratissima avocado oil""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
130,methylpropanediol,메틸프로판다이올,Methylpropanediol,2495,Methylpropanediol,"(""Methylpropanediol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",4,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
131,serine,세린,Serine,2484,Serine,"(""Serine""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
132,dehydroacetic_acid,데하이드로아세틱애씨드,Dehydroacetic Acid,2418,Dehydroacetic Acid,"(""Dehydroacetic Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",15,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
133,lauroyl_lysine,라우로일라이신,Lauroyl Lysine,2380,Lauroyl Lysine,"(""Lauroyl Lysine""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",0,0,no_pubmed_hit,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
134,ascorbyl_palmitate,아스코빌팔미테이트,Ascorbyl Palmitate,2347,Ascorbyl Palmitate,"(""Ascorbyl Palmitate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
135,behenyl_alcohol,베헤닐알코올,Behenyl Alcohol,2336,Behenyl Alcohol,"(""Behenyl Alcohol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",5,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
136,centella_asiatica_extract,병풀추출물,Centella Asiatica Extract,2328,Centella Asiatica Extract,"(""Centella Asiatica Extract""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",48,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
137,sorbic_acid,소르빅애씨드,Sorbic Acid,2318,Sorbic Acid,"(""Sorbic Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
138,decyl_glucoside,데실글루코사이드,Decyl Glucoside,2311,Decyl Glucoside,"(""Decyl Glucoside""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",39,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
139,argania_spinosa_kernel_oil,아르간커넬오일,Argania Spinosa Kernel Oil,2310,Argania Spinosa Kernel Oil,"(""Argania Spinosa Kernel Oil""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",4,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
140,kaolin,카올린,Kaolin,2306,Kaolin,"(""Kaolin""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
141,hydrolyzed_hyaluronic_acid,하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,2185,Hydrolyzed Hyaluronic Acid,"(""Hydrolyzed Hyaluronic Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
142,triethyl_citrate,트라이에틸시트레이트,Triethyl Citrate,2184,Triethyl Citrate,"(""Triethyl Citrate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",29,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
143,sorbitol,솔비톨,Sorbitol,2180,Sorbitol,"(""Sorbitol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
