fetched_on,source_url,inci_name,functions_json,restrictions_json,sccs_opinions_json,substance_ids_json
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BETA-GLUCAN,"[""BULKING"", ""SKIN CONDITIONING - MISCELLANEOUS""]",[],[],"[""54744""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BETAINE,"[""HAIR CONDITIONING"", ""HUMECTANT"", ""SKIN CONDITIONING - HUMECTANT""]",[],[],"[""74520""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BHT,"[""ANTIOXIDANT"", ""FRAGRANCE""]","[""III / 325""]",[],"[""32185""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BIOSACCHARIDE GUM-1,"[""SKIN CONDITIONING""]",[],[],"[""32187""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BIOTIN,"[""HAIR CONDITIONING"", ""SKIN CONDITIONING - MISCELLANEOUS""]",[],[],"[""32188""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BIS-DIGLYCERYL POLYACYLADIPATE-2,"[""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""74501""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE,"[""HAIR CONDITIONING"", ""LIGHT STABILIZER"", ""UV ABSORBER"", ""UV FILTER""]","[""VI/25""]",[],"[""74502""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BISABOLOL,"[""FRAGRANCE"", ""SKIN CONDITIONING"", ""SOOTHING""]",[],[],"[""74499""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BORON NITRIDE,"[""BULKING"", ""SLIP MODIFIER""]",[],[],"[""32211""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BUTYL METHOXYDIBENZOYLMETHANE,"[""LIGHT STABILIZER"", ""UV ABSORBER"", ""UV FILTER""]","[""VI/8""]",[],"[""31713""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BUTYLENE GLYCOL,"[""FRAGRANCE"", ""HUMECTANT"", ""SKIN CONDITIONING"", ""SOLVENT"", ""VISCOSITY CONTROLLING""]",[],[],"[""74756""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE,"[""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""74757""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BUTYLENE/ETHYLENE/STYRENE COPOLYMER,"[""VISCOSITY CONTROLLING""]",[],[],"[""55019""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BUTYLOCTYL SALICYLATE,"[""HAIR CONDITIONING"", ""SKIN CONDITIONING"", ""SOLVENT""]",[],[],"[""31733""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BUTYLPHENYL METHYLPROPIONAL,"[""FRAGRANCE"", ""PERFUMING""]","[""II/1666""]","[""OPINION ON Butylphenyl methylpropional (BMHCA)"", ""OPINION ON the safety of Butylphenyl methylpropional (p-BMHCA) in cosmetic products - Submission II -""]","[""31735""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BUTYROSPERMUM PARKII BUTTER,"[""SKIN CONDITIONING"", ""VISCOSITY CONTROLLING""]",[],[],"[""84401""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,C11-15 ALKETH-7,"[""SURFACTANT - EMULSIFYING""]",[],[],"[""99314""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,C12-15 ALKYL BENZOATE,"[""ANTIMICROBIAL"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""74635""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,C13-14 ISOALKANE,"[""SKIN CONDITIONING - MISCELLANEOUS"", ""SOLVENT""]",[],[],"[""99306""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,C13-15 ALKANE,"[""SOLVENT""]","[""II/875\r\nDistillates (petroleum), hydrotreated middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen.""]",[],"[""54884""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,C9-12 ALKANE,"[""HAIR CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT"", ""SKIN CONDITIONING - MISCELLANEOUS"", ""SKIN CONDITIONING - OCCLUSIVE"", ""SOLVENT""]","[""Please consider whether entry 875 of Annex II to the Cosmetics Regulation 1223/2009 is applicable. According to entry 875, Distillates (petroleum), hydrotreated middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen.""]",[],"[""55157""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CAFFEINE,"[""FRAGRANCE"", ""PERFUMING"", ""SKIN CONDITIONING""]",[],[],"[""32304""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CALCIUM ALUMINUM BOROSILICATE,"[""BULKING""]",[],[],"[""55174""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CALCIUM GLUCONATE,"[""CHELATING"", ""SKIN CONDITIONING - MISCELLANEOUS""]",[],[],"[""32326""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CALCIUM SODIUM BOROSILICATE,"[""BULKING""]",[],[],"[""55187""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CALENDULA OFFICINALIS FLOWER EXTRACT,"[""FRAGRANCE"", ""PERFUMING"", ""SKIN CONDITIONING""]",[],[],"[""74929""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CAMELLIA JAPONICA SEED OIL,"[""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""55212""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CAMELLIA SINENSIS LEAF EXTRACT,"[""ANTIMICROBIAL"", ""ANTIOXIDANT"", ""ASTRINGENT"", ""FRAGRANCE"", ""HUMECTANT"", ""ORAL CARE"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT"", ""SKIN PROTECTING"", ""TONIC"", ""UV ABSORBER""]",[],[],"[""55220""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CAPRYLHYDROXAMIC ACID,"[""CHELATING""]",[],[],"[""86262""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CAPRYLIC/CAPRIC TRIGLYCERIDE,"[""FRAGRANCE"", ""PERFUMING"", ""SKIN CONDITIONING - OCCLUSIVE"", ""SOLVENT""]",[],[],"[""74816""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CAPRYLOYL SALICYLIC ACID,"[""SKIN CONDITIONING""]",[],[],"[""32421""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CAPRYLYL GLYCOL,"[""DEODORANT"", ""HAIR CONDITIONING"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""74860""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CAPRYLYL METHICONE,"[""SKIN CONDITIONING""]",[],[],"[""55141""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CAPRYLYL/CAPRYL GLUCOSIDE,"[""CLEANSING"", ""FOAMING"", ""SURFACTANT - CLEANSING""]",[],[],"[""32427""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CARAMEL,"[""COLORANT"", ""FRAGRANCE""]","[""IV/146""]",[],"[""32434""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CARBOMER,"[""EMULSION STABILISING"", ""GEL FORMING"", ""VISCOSITY CONTROLLING""]",[],[],"[""74820""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CARTHAMUS TINCTORIUS SEED OIL,"[""FRAGRANCE"", ""SKIN CONDITIONING""]",[],[],"[""55096""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CELLULOSE,"[""ABSORBENT"", ""BULKING"", ""OPACIFYING"", ""VISCOSITY CONTROLLING""]",[],[],"[""32480""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CELLULOSE GUM,"[""BINDING"", ""EMULSION STABILISING"", ""FILM FORMING"", ""FRAGRANCE"", ""VISCOSITY CONTROLLING""]",[],[],"[""32485""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CENTELLA ASIATICA EXTRACT,"[""CLEANSING"", ""SKIN CONDITIONING"", ""SMOOTHING"", ""SOOTHING"", ""TONIC""]",[],[],"[""75075""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CENTELLA ASIATICA LEAF EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""55319""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CERAMIDE NP,"[""HAIR CONDITIONING"", ""SKIN CONDITIONING - MISCELLANEOUS""]",[],[],"[""92555""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CETEARYL ALCOHOL,"[""EMULSION STABILISING"", ""OPACIFYING"", ""SKIN CONDITIONING - EMOLLIENT"", ""SURFACTANT - CLEANSING"", ""SURFACTANT - EMULSIFYING"", ""SURFACTANT - FOAM BOOSTING"", ""VISCOSITY CONTROLLING""]",[],[],"[""75132""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,CETEARYL GLUCOSIDE,"[""SURFACTANT - CLEANSING"", ""SURFACTANT - EMULSIFYING""]",[],[],"[""75137""]"
